disease_id	name	description
DOID:0001816	angiosarcoma	A malignant Vascular tumor that results_in rapidly proliferating, extensively infiltrating anaplastic cells derives_from blood vessels and derived_from the lining of irregular blood-filled spaces.
DOID:0002116	pterygium	
DOID:0014667	disease of metabolism	A disease that involving errors in metabolic processes of building or degradation of molecules.
DOID:0050004	seminal vesicle acute gonorrhea	
DOID:0050012	chikungunya	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.
DOID:0050013	carbohydrate metabolism disease	An acquired metabolic disease that is characterized by abnormal carbohydrate metabolism.
DOID:0050025	human granulocytic anaplasmosis	An ehrlichiosis that results_in infection located_in granular leukocyte, has_material_basis_in Anaplasma phagocytophilum, which is transmitted_by lone start tick (Amblyomma americanum ). The infection has_symptom headache, has_symptom muscle aches, has_symptom fatigue, has_symptom fever and has_symptom rash.
DOID:0050026	human monocytic ehrlichiosis	An ehrlichiosis that results_in infection located_in monocyte or located_in macrophage, has_material_basis_in Ehrlichia chaffeensis, which is transmitted_by black-legged tick (Ixodes scapularis), transmitted_by western black-legged tick (Ixodes pacificus) or transmitted_by castor bean tick (Ixodes ricinus,). The infection has_symptom headache, has_symptom muscle aches, has_symptom fatigue, has_symptom fever and has_symptom rash.
DOID:0050032	mineral metabolism disease	An acquired metabolic disease that is characterized by abnormal mineral metabolism.
DOID:0050035	African tick-bite fever	A spotted fever that has_material_basis_in Rickettsia africae, which is transmitted_by ticks (Amblyomma hebraeum and Amblyomma variegatum). The infection has_symptom fever, has_symptom eschar and has_symptom maculopapular rash.
DOID:0050041	Astrakhan spotted fever	A spotted fever that has_material_basis_in Rickettsia conorii subsp caspia, which is transmitted_by ticks (Rhipicephalus pumilio and Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar (usually single), has_symptom regional adenopathy, has_symptom maculopapular rash on extremities.
DOID:0050042	Indian tick typhus	A spotted fever that has_material_basis_in Rickettsia conorii subsp indica, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.
