slim_id	slim_name	subsumed_id	subsumed_name	min_distance
DOID:0050144	Kartagener syndrome	DOID:0050144	Kartagener syndrome	0
DOID:0050156	idiopathic pulmonary fibrosis	DOID:0050156	idiopathic pulmonary fibrosis	0
DOID:0050335	bradyopsia	DOID:0050335	bradyopsia	0
DOID:0050425	restless legs syndrome	DOID:0050425	restless legs syndrome	0
DOID:0050428	nonepidermolytic palmoplantar keratoderma	DOID:0050428	nonepidermolytic palmoplantar keratoderma	0
DOID:0050430	multiple endocrine neoplasia type 2A	DOID:0050430	multiple endocrine neoplasia type 2A	0
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	0
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110070	arrhythmogenic right ventricular dysplasia 1	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110071	arrhythmogenic right ventricular dysplasia 2	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110072	arrhythmogenic right ventricular dysplasia 3	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110073	arrhythmogenic right ventricular dysplasia 4	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110074	arrhythmogenic right ventricular dysplasia 5	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110075	arrhythmogenic right ventricular dysplasia 6	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110076	arrhythmogenic right ventricular dysplasia 8	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110077	arrhythmogenic right ventricular dysplasia 9	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110081	arrhythmogenic right ventricular dysplasia 10	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110082	arrhythmogenic right ventricular dysplasia 11	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110083	arrhythmogenic right ventricular dysplasia 12	1
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	DOID:0110084	arrhythmogenic right ventricular dysplasia 13	1
DOID:0050432	Asperger syndrome	DOID:0050432	Asperger syndrome	0
DOID:0050439	Usher syndrome	DOID:0050439	Usher syndrome	0
