doid_code	doid_name	resource	resource_id
DOID:2531	hematologic cancer	CSP	2004-1600
DOID:2531	hematologic cancer	CSP	2004-1803
DOID:2531	hematologic cancer	CSP	2004-2820
DOID:2531	hematologic cancer	EFO	0000095
DOID:2531	hematologic cancer	EFO	0000096
DOID:2531	hematologic cancer	EFO	0000183
DOID:2531	hematologic cancer	EFO	0000200
DOID:2531	hematologic cancer	EFO	0000220
DOID:2531	hematologic cancer	EFO	0000339
DOID:2531	hematologic cancer	EFO	0001378
DOID:2531	hematologic cancer	EFO	0004251
DOID:2531	hematologic cancer	ICD10	C81
DOID:2531	hematologic cancer	ICD10	C81.0
DOID:2531	hematologic cancer	ICD10	C81.1
DOID:2531	hematologic cancer	ICD10	C81.2
DOID:2531	hematologic cancer	ICD10	C81.3
DOID:2531	hematologic cancer	ICD10	C81.4
DOID:2531	hematologic cancer	ICD10	C81.9
DOID:2531	hematologic cancer	ICD10	C83.7
DOID:2531	hematologic cancer	ICD10	C83.70
DOID:2531	hematologic cancer	ICD10	C84.0
DOID:2531	hematologic cancer	ICD10	C84.00
DOID:2531	hematologic cancer	ICD10	C84.1
DOID:2531	hematologic cancer	ICD10	C84.10
DOID:2531	hematologic cancer	ICD10	C85.9
DOID:2531	hematologic cancer	ICD10	C88.0
DOID:2531	hematologic cancer	ICD10	C90.0
DOID:2531	hematologic cancer	ICD10	C90.00
DOID:2531	hematologic cancer	ICD10	C90.1
DOID:2531	hematologic cancer	ICD10	C90.10
DOID:2531	hematologic cancer	ICD10	C90.2
DOID:2531	hematologic cancer	ICD10	C90.20
DOID:2531	hematologic cancer	ICD10	C90.3
DOID:2531	hematologic cancer	ICD10	C90.30
DOID:2531	hematologic cancer	ICD10	C91
DOID:2531	hematologic cancer	ICD10	C91.0
DOID:2531	hematologic cancer	ICD10	C91.00
DOID:2531	hematologic cancer	ICD10	C91.1
DOID:2531	hematologic cancer	ICD10	C91.10
DOID:2531	hematologic cancer	ICD10	C91.4
DOID:2531	hematologic cancer	ICD10	C91.40
DOID:2531	hematologic cancer	ICD10	C91.5
DOID:2531	hematologic cancer	ICD10	C91.50
DOID:2531	hematologic cancer	ICD10	C91.9
DOID:2531	hematologic cancer	ICD10	C91.90
DOID:2531	hematologic cancer	ICD10	C92
DOID:2531	hematologic cancer	ICD10	C92.0
DOID:2531	hematologic cancer	ICD10	C92.00
DOID:2531	hematologic cancer	ICD10	C92.2
DOID:2531	hematologic cancer	ICD10	C92.3
DOID:2531	hematologic cancer	ICD10	C92.30
DOID:2531	hematologic cancer	ICD10	C92.4
DOID:2531	hematologic cancer	ICD10	C92.40
DOID:2531	hematologic cancer	ICD10	C92.9
DOID:2531	hematologic cancer	ICD10	C92.90
DOID:2531	hematologic cancer	ICD10	C93.1
DOID:2531	hematologic cancer	ICD10	C93.3
DOID:2531	hematologic cancer	ICD10	C93.30
DOID:2531	hematologic cancer	ICD10	C93.Z
DOID:2531	hematologic cancer	ICD10	C93.Z0
DOID:2531	hematologic cancer	ICD10	C94.2
DOID:2531	hematologic cancer	ICD10	C94.20
DOID:2531	hematologic cancer	ICD10	C94.3
DOID:2531	hematologic cancer	ICD10	C94.30
DOID:2531	hematologic cancer	ICD10	C94.8
DOID:2531	hematologic cancer	ICD10	C95
DOID:2531	hematologic cancer	ICD10	C95.0
DOID:2531	hematologic cancer	ICD10	C95.00
DOID:2531	hematologic cancer	ICD10	C95.9
DOID:2531	hematologic cancer	ICD10	C95.90
DOID:2531	hematologic cancer	ICD10	C96.4
DOID:2531	hematologic cancer	ICD10	D47.0
DOID:2531	hematologic cancer	ICD10	D47.1
DOID:2531	hematologic cancer	ICD10	D47.3
DOID:2531	hematologic cancer	ICD10	D47.4
DOID:2531	hematologic cancer	ICD10	D47.7
DOID:2531	hematologic cancer	ICD10	D75.81
DOID:2531	hematologic cancer	ICD9	200.2
DOID:2531	hematologic cancer	ICD9	201
DOID:2531	hematologic cancer	ICD9	201.0
DOID:2531	hematologic cancer	ICD9	201.1
DOID:2531	hematologic cancer	ICD9	201.2
DOID:2531	hematologic cancer	ICD9	201.4
DOID:2531	hematologic cancer	ICD9	201.5
DOID:2531	hematologic cancer	ICD9	201.6
DOID:2531	hematologic cancer	ICD9	201.7
DOID:2531	hematologic cancer	ICD9	201.9
DOID:2531	hematologic cancer	ICD9	202.1
DOID:2531	hematologic cancer	ICD9	202.2
DOID:2531	hematologic cancer	ICD9	202.4
DOID:2531	hematologic cancer	ICD9	202.46
DOID:2531	hematologic cancer	ICD9	203.0
DOID:2531	hematologic cancer	ICD9	203.1
DOID:2531	hematologic cancer	ICD9	204
DOID:2531	hematologic cancer	ICD9	204.0
DOID:2531	hematologic cancer	ICD9	204.1
DOID:2531	hematologic cancer	ICD9	204.2
DOID:2531	hematologic cancer	ICD9	204.9
DOID:2531	hematologic cancer	ICD9	205
DOID:2531	hematologic cancer	ICD9	205.0
DOID:2531	hematologic cancer	ICD9	205.1
DOID:2531	hematologic cancer	ICD9	205.3
DOID:2531	hematologic cancer	ICD9	205.9
DOID:2531	hematologic cancer	ICD9	206.0
DOID:2531	hematologic cancer	ICD9	206.1
DOID:2531	hematologic cancer	ICD9	206.2
DOID:2531	hematologic cancer	ICD9	206.8
DOID:2531	hematologic cancer	ICD9	207.1
DOID:2531	hematologic cancer	ICD9	207.2
DOID:2531	hematologic cancer	ICD9	208
DOID:2531	hematologic cancer	ICD9	208.0
DOID:2531	hematologic cancer	ICD9	208.2
DOID:2531	hematologic cancer	ICD9	208.9
DOID:2531	hematologic cancer	ICD9	238.7
DOID:2531	hematologic cancer	ICD9	238.71
DOID:2531	hematologic cancer	ICD9	238.76
DOID:2531	hematologic cancer	ICD9	273.3
DOID:2531	hematologic cancer	ICD9	289.83
DOID:2531	hematologic cancer	KEGG	05220
DOID:2531	hematologic cancer	KEGG	05221
DOID:2531	hematologic cancer	MESH	D002051
DOID:2531	hematologic cancer	MESH	D006689
DOID:2531	hematologic cancer	MESH	D007938
DOID:2531	hematologic cancer	MESH	D007943
DOID:2531	hematologic cancer	MESH	D007945
DOID:2531	hematologic cancer	MESH	D007946
DOID:2531	hematologic cancer	MESH	D007947
DOID:2531	hematologic cancer	MESH	D007948
DOID:2531	hematologic cancer	MESH	D007951
DOID:2531	hematologic cancer	MESH	D007952
DOID:2531	hematologic cancer	MESH	D008223
DOID:2531	hematologic cancer	MESH	D008224
DOID:2531	hematologic cancer	MESH	D008258
DOID:2531	hematologic cancer	MESH	D009101
DOID:2531	hematologic cancer	MESH	D009182
DOID:2531	hematologic cancer	MESH	D009190
DOID:2531	hematologic cancer	MESH	D009196
DOID:2531	hematologic cancer	MESH	D010265
DOID:2531	hematologic cancer	MESH	D010954
DOID:2531	hematologic cancer	MESH	D012751
DOID:2531	hematologic cancer	MESH	D013920
DOID:2531	hematologic cancer	MESH	D015451
DOID:2531	hematologic cancer	MESH	D015456
DOID:2531	hematologic cancer	MESH	D015458
DOID:2531	hematologic cancer	MESH	D015459
DOID:2531	hematologic cancer	MESH	D015463
DOID:2531	hematologic cancer	MESH	D015464
DOID:2531	hematologic cancer	MESH	D015470
DOID:2531	hematologic cancer	MESH	D015473
DOID:2531	hematologic cancer	MESH	D016393
DOID:2531	hematologic cancer	MESH	D016410
DOID:2531	hematologic cancer	MESH	D019337
DOID:2531	hematologic cancer	MESH	D020522
DOID:2531	hematologic cancer	MESH	D023981
DOID:2531	hematologic cancer	MESH	D034721
DOID:2531	hematologic cancer	MESH	D034801
DOID:2531	hematologic cancer	MESH	D054198
DOID:2531	hematologic cancer	MESH	D054429
DOID:2531	hematologic cancer	MESH	D054437
DOID:2531	hematologic cancer	MESH	D054438
DOID:2531	hematologic cancer	MESH	D054739
DOID:2531	hematologic cancer	MESH	D054740
DOID:2531	hematologic cancer	MESH	D054752
DOID:2531	hematologic cancer	MESH	D055728
DOID:2531	hematologic cancer	MESH	D058617
DOID:2531	hematologic cancer	NCI	C115212
DOID:2531	hematologic cancer	NCI	C26956
DOID:2531	hematologic cancer	NCI	C27134
DOID:2531	hematologic cancer	NCI	C27260
DOID:2531	hematologic cancer	NCI	C27262
DOID:2531	hematologic cancer	NCI	C27357
DOID:2531	hematologic cancer	NCI	C27753
DOID:2531	hematologic cancer	NCI	C27907
DOID:2531	hematologic cancer	NCI	C27910
DOID:2531	hematologic cancer	NCI	C27911
DOID:2531	hematologic cancer	NCI	C2862
DOID:2531	hematologic cancer	NCI	C2912
DOID:2531	hematologic cancer	NCI	C3161
DOID:2531	hematologic cancer	NCI	C3163
DOID:2531	hematologic cancer	NCI	C3167
DOID:2531	hematologic cancer	NCI	C3168
DOID:2531	hematologic cancer	NCI	C3169
DOID:2531	hematologic cancer	NCI	C3170
DOID:2531	hematologic cancer	NCI	C3171
DOID:2531	hematologic cancer	NCI	C3172
DOID:2531	hematologic cancer	NCI	C3174
DOID:2531	hematologic cancer	NCI	C3178
DOID:2531	hematologic cancer	NCI	C3179
DOID:2531	hematologic cancer	NCI	C3180
DOID:2531	hematologic cancer	NCI	C3181
DOID:2531	hematologic cancer	NCI	C3182
DOID:2531	hematologic cancer	NCI	C3184
DOID:2531	hematologic cancer	NCI	C3208
DOID:2531	hematologic cancer	NCI	C3242
DOID:2531	hematologic cancer	NCI	C3246
DOID:2531	hematologic cancer	NCI	C3248
DOID:2531	hematologic cancer	NCI	C3366
DOID:2531	hematologic cancer	NCI	C3407
