doid_code	doid_name	resource	resource_id
DOID:2531	hematologic cancer	MESH	D019337
DOID:2531	hematologic cancer	NCI	C27134
DOID:2531	hematologic cancer	SNOMEDCT_US_2016_03_01	414388001
DOID:2531	hematologic cancer	SNOMEDCT_US_2016_03_01	414644002
DOID:2531	hematologic cancer	UMLS	C0376544
DOID:1319	brain cancer	CSP	2006-2736
DOID:1319	brain cancer	ICD10	C71
DOID:1319	brain cancer	ICD10	C71.9
DOID:1319	brain cancer	ICD9	191
DOID:1319	brain cancer	ICD9	191.9
DOID:1319	brain cancer	ICD9	239.6
DOID:1319	brain cancer	MESH	D001932
DOID:1319	brain cancer	NCI	C2907
DOID:1319	brain cancer	NCI	C3568
DOID:1319	brain cancer	NCI	C4952
DOID:1319	brain cancer	NCI	C4954
DOID:1319	brain cancer	NCI	C5115
DOID:1319	brain cancer	NCI	C7710
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	126952004
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	154550004
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	188279009
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	188305001
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	189537005
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	254935002
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	269610005
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	275464006
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	363356001
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	428061005
DOID:1319	brain cancer	SNOMEDCT_US_2016_03_01	93727008
DOID:1319	brain cancer	UMLS	C0006118
DOID:1319	brain cancer	UMLS	C0153633
DOID:1319	brain cancer	UMLS	C0220624
DOID:1319	brain cancer	UMLS	C0750974
DOID:1319	brain cancer	UMLS	C0750979
DOID:1319	brain cancer	UMLS	C1334557
DOID:1324	lung cancer	ICD10	C34.1
DOID:1324	lung cancer	ICD10	C34.2
DOID:1324	lung cancer	ICD10	C34.3
DOID:1324	lung cancer	ICD9	162.3
DOID:1324	lung cancer	ICD9	162.4
DOID:1324	lung cancer	ICD9	162.5
DOID:1324	lung cancer	ICD9	162.8
DOID:1324	lung cancer	OMIM	211980
DOID:1324	lung cancer	OMIM	608935
DOID:1324	lung cancer	OMIM	612571
DOID:1324	lung cancer	OMIM	612593
DOID:1324	lung cancer	OMIM	614210
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187860004
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187863002
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187864008
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187867001
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187868006
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187871003
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	187874006
DOID:1324	lung cancer	SNOMEDCT_US_2016_03_01	269464000
DOID:1324	lung cancer	UMLS	C0024624
DOID:1324	lung cancer	UMLS	C0153491
DOID:1324	lung cancer	UMLS	C0153492
DOID:1324	lung cancer	UMLS	C0153493
DOID:263	kidney cancer	ICD10	C64
DOID:263	kidney cancer	ICD9	189.0
DOID:263	kidney cancer	MESH	D007680
DOID:263	kidney cancer	NCI	C120456
DOID:263	kidney cancer	NCI	C3150
DOID:263	kidney cancer	NCI	C7548
DOID:263	kidney cancer	SNOMEDCT_US_2016_03_01	126880001
DOID:263	kidney cancer	SNOMEDCT_US_2016_03_01	154542008
DOID:263	kidney cancer	SNOMEDCT_US_2016_03_01	188249002
DOID:263	kidney cancer	SNOMEDCT_US_2016_03_01	363518003
DOID:263	kidney cancer	SNOMEDCT_US_2016_03_01	93849006
DOID:263	kidney cancer	UMLS	C0022665
DOID:263	kidney cancer	UMLS	C0494158
DOID:263	kidney cancer	UMLS	C0740457
DOID:1793	pancreatic cancer	ICD10	C25.0
DOID:1793	pancreatic cancer	ICD10	C25.1
DOID:1793	pancreatic cancer	ICD10	C25.2
DOID:1793	pancreatic cancer	ICD9	157.0
DOID:1793	pancreatic cancer	ICD9	157.1
DOID:1793	pancreatic cancer	ICD9	157.2
DOID:1793	pancreatic cancer	ICD9	157.8
DOID:1793	pancreatic cancer	KEGG	05212
DOID:1793	pancreatic cancer	MESH	D010190
DOID:1793	pancreatic cancer	NCI	C3305
DOID:1793	pancreatic cancer	ORDO	1333
DOID:1793	pancreatic cancer	ORDO	217074
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	126859007
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	154476001
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	154477005
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	154478000
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	187791002
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	187792009
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	187796007
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	269553001
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	269554007
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	269555008
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	363419009
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	93715005
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	93823001
DOID:1793	pancreatic cancer	SNOMEDCT_US_2016_03_01	94082003
DOID:1793	pancreatic cancer	UMLS	C0030297
DOID:1793	pancreatic cancer	UMLS	C0153458
DOID:1793	pancreatic cancer	UMLS	C0153459
DOID:1793	pancreatic cancer	UMLS	C0153460
DOID:1793	pancreatic cancer	UMLS	C0153463
DOID:4159	skin cancer	MESH	D012878
DOID:4159	skin cancer	NCI	C2920
DOID:4159	skin cancer	SNOMEDCT_US_2016_03_01	188143008
DOID:4159	skin cancer	SNOMEDCT_US_2016_03_01	190107001
DOID:4159	skin cancer	SNOMEDCT_US_2016_03_01	363511009
DOID:4159	skin cancer	SNOMEDCT_US_2016_03_01	372130007
DOID:4159	skin cancer	SNOMEDCT_US_2016_03_01	94047004
DOID:4159	skin cancer	UMLS	C0007114
DOID:184	bone cancer	CSP	2019-1041
DOID:184	bone cancer	MESH	D001859
DOID:184	bone cancer	NCI	C9343
DOID:184	bone cancer	SNOMEDCT_US_2016_03_01	115239009
DOID:184	bone cancer	SNOMEDCT_US_2016_03_01	126537000
DOID:184	bone cancer	SNOMEDCT_US_2016_03_01	240201007
DOID:184	bone cancer	UMLS	C0005967
DOID:0060119	pharynx cancer	MESH	D010610
DOID:0060119	pharynx cancer	NCI	C3325
DOID:0060119	pharynx cancer	SNOMEDCT_US_2016_03_01	126685009
DOID:0060119	pharynx cancer	SNOMEDCT_US_2016_03_01	95001001
DOID:0060119	pharynx cancer	UMLS	C0031347
DOID:2394	ovarian cancer	ICD10	C56
DOID:2394	ovarian cancer	ICD9	183.0
DOID:2394	ovarian cancer	MESH	D010051
DOID:2394	ovarian cancer	NCI	C4984
DOID:2394	ovarian cancer	NCI	C7431
DOID:2394	ovarian cancer	OMIM	167000
DOID:2394	ovarian cancer	OMIM	607893
DOID:2394	ovarian cancer	ORDO	213517
DOID:2394	ovarian cancer	SNOMEDCT_US_2016_03_01	123843001
DOID:2394	ovarian cancer	SNOMEDCT_US_2016_03_01	154528000
DOID:2394	ovarian cancer	SNOMEDCT_US_2016_03_01	363443007
DOID:2394	ovarian cancer	SNOMEDCT_US_2016_03_01	372117006
DOID:2394	ovarian cancer	SNOMEDCT_US_2016_03_01	93934004
DOID:2394	ovarian cancer	UMLS	C0919267
DOID:2394	ovarian cancer	UMLS	C1140680
DOID:2394	ovarian cancer	UMLS	C1299247
DOID:1612	breast cancer	ICD10	C50
DOID:1612	breast cancer	ICD10	C50-C50
DOID:1612	breast cancer	ICD9	174.8
DOID:1612	breast cancer	MESH	D001943
DOID:1612	breast cancer	NCI	C2910
DOID:1612	breast cancer	NCI	C9335
DOID:1612	breast cancer	OMIM	114480
DOID:1612	breast cancer	OMIM	600048
DOID:1612	breast cancer	OMIM	605365
DOID:1612	breast cancer	SNOMEDCT_US_2016_03_01	126926005
DOID:1612	breast cancer	SNOMEDCT_US_2016_03_01	154521006
DOID:1612	breast cancer	SNOMEDCT_US_2016_03_01	190121004
DOID:1612	breast cancer	SNOMEDCT_US_2016_03_01	254837009
DOID:1612	breast cancer	SNOMEDCT_US_2016_03_01	269595005
DOID:1612	breast cancer	UMLS	C0006142
DOID:1612	breast cancer	UMLS	C0153555
DOID:1612	breast cancer	UMLS	C1458155
DOID:3070	malignant glioma	KEGG	05214
DOID:3070	malignant glioma	MESH	D005910
DOID:3070	malignant glioma	NCI	C3059
DOID:3070	malignant glioma	NCI	C4822
DOID:3070	malignant glioma	OMIM	137800
DOID:3070	malignant glioma	OMIM	607248
DOID:3070	malignant glioma	OMIM	613030
DOID:3070	malignant glioma	OMIM	613031
DOID:3070	malignant glioma	OMIM	613032
DOID:3070	malignant glioma	OMIM	613033
DOID:3070	malignant glioma	ORDO	182067
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	115240006
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	189908003
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	189909006
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	189926000
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	269505000
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	393564001
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	416500007
DOID:3070	malignant glioma	SNOMEDCT_US_2016_03_01	74532006
DOID:3070	malignant glioma	UMLS	C0017638
DOID:3070	malignant glioma	UMLS	C0555198
DOID:363	uterine cancer	ICD10	C55
DOID:363	uterine cancer	ICD9	179
DOID:363	uterine cancer	MESH	D014594
DOID:363	uterine cancer	NCI	C3435
DOID:363	uterine cancer	NCI	C3552
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	126908007
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	156169001
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	188173004
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	269613007
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	371973000
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	93718007
DOID:363	uterine cancer	SNOMEDCT_US_2016_03_01	94127009
DOID:363	uterine cancer	UMLS	C0042138
DOID:363	uterine cancer	UMLS	C0153567
DOID:3953	adrenal gland cancer	ICD10	C74
DOID:3953	adrenal gland cancer	ICD10	C74.9
DOID:3953	adrenal gland cancer	ICD9	194.0
DOID:3953	adrenal gland cancer	MESH	D000310
DOID:3953	adrenal gland cancer	NCI	C2859
DOID:3953	adrenal gland cancer	NCI	C9338
DOID:3953	adrenal gland cancer	SNOMEDCT_US_2016_03_01	127021009
DOID:3953	adrenal gland cancer	SNOMEDCT_US_2016_03_01	188337000
DOID:3953	adrenal gland cancer	SNOMEDCT_US_2016_03_01	188338005
DOID:3953	adrenal gland cancer	SNOMEDCT_US_2016_03_01	363355002
DOID:3953	adrenal gland cancer	SNOMEDCT_US_2016_03_01	93665005
DOID:3953	adrenal gland cancer	UMLS	C0001624
DOID:3953	adrenal gland cancer	UMLS	C0750887
DOID:5041	esophageal cancer	ICD10	C15.3
DOID:5041	esophageal cancer	ICD10	C15.4
DOID:5041	esophageal cancer	ICD10	C15.5
DOID:5041	esophageal cancer	ICD9	150.2
DOID:5041	esophageal cancer	ICD9	150.3
DOID:5041	esophageal cancer	ICD9	150.4
DOID:5041	esophageal cancer	ICD9	150.5
DOID:5041	esophageal cancer	ICD9	150.8
DOID:5041	esophageal cancer	MESH	D004938
DOID:5041	esophageal cancer	NCI	C3028
DOID:5041	esophageal cancer	NCI	C3533
DOID:5041	esophageal cancer	NCI	C3534
DOID:5041	esophageal cancer	NCI	C3535
DOID:5041	esophageal cancer	NCI	C4764
DOID:5041	esophageal cancer	OMIM	133239
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	126817006
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	154443000
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	154444006
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	187724003
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	187725002
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	187726001
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	187727005
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	187729008
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	269523008
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	269524002
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	93656003
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	93877002
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	93895004
DOID:5041	esophageal cancer	SNOMEDCT_US_2016_03_01	94119000
DOID:5041	esophageal cancer	UMLS	C0014859
DOID:5041	esophageal cancer	UMLS	C0153413
DOID:5041	esophageal cancer	UMLS	C0153414
DOID:5041	esophageal cancer	UMLS	C0153415
DOID:5041	esophageal cancer	UMLS	C0153416
DOID:5041	esophageal cancer	UMLS	C0496775
DOID:8850	salivary gland cancer	ICD10	C08
DOID:8850	salivary gland cancer	ICD9	142.8
DOID:8850	salivary gland cancer	SNOMEDCT_US_2016_03_01	187648003
DOID:8850	salivary gland cancer	UMLS	C0153362
DOID:10283	prostate cancer	ICD10	C61
DOID:10283	prostate cancer	ICD9	185
DOID:10283	prostate cancer	KEGG	05215
DOID:10283	prostate cancer	MESH	D011471
DOID:10283	prostate cancer	NCI	C3343
DOID:10283	prostate cancer	NCI	C7378
DOID:10283	prostate cancer	OMIM	176807
DOID:10283	prostate cancer	OMIM	300147
DOID:10283	prostate cancer	OMIM	300704
DOID:10283	prostate cancer	OMIM	601518
DOID:10283	prostate cancer	OMIM	602759
DOID:10283	prostate cancer	OMIM	608656
DOID:10283	prostate cancer	OMIM	608658
DOID:10283	prostate cancer	OMIM	609299
DOID:10283	prostate cancer	OMIM	609558
DOID:10283	prostate cancer	OMIM	610321
DOID:10283	prostate cancer	OMIM	610997
DOID:10283	prostate cancer	OMIM	611100
DOID:10283	prostate cancer	OMIM	611868
DOID:10283	prostate cancer	OMIM	611928
DOID:10283	prostate cancer	OMIM	611955
DOID:10283	prostate cancer	OMIM	611958
DOID:10283	prostate cancer	OMIM	611959
DOID:10283	prostate cancer	ORDO	1331
DOID:10283	prostate cancer	SNOMEDCT_US_2016_03_01	126906006
DOID:10283	prostate cancer	SNOMEDCT_US_2016_03_01	363448003
DOID:10283	prostate cancer	SNOMEDCT_US_2016_03_01	399068003
DOID:10283	prostate cancer	SNOMEDCT_US_2016_03_01	93974005
DOID:10283	prostate cancer	UMLS	C0033578
DOID:10283	prostate cancer	UMLS	C0376358
DOID:10534	stomach cancer	ICD10	C16
DOID:10534	stomach cancer	ICD10	C16.2
DOID:10534	stomach cancer	ICD10	C16.5
DOID:10534	stomach cancer	ICD10	C16.6
DOID:10534	stomach cancer	ICD10	C16.9
DOID:10534	stomach cancer	ICD9	151
DOID:10534	stomach cancer	ICD9	151.4
DOID:10534	stomach cancer	ICD9	151.5
DOID:10534	stomach cancer	ICD9	151.6
DOID:10534	stomach cancer	ICD9	151.9
DOID:10534	stomach cancer	MESH	D013274
DOID:10534	stomach cancer	NCI	C3387
DOID:10534	stomach cancer	NCI	C9331
DOID:10534	stomach cancer	OMIM	137215
DOID:10534	stomach cancer	OMIM	613659
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	126824007
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	154450001
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	154451002
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	154452009
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	154453004
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	187731004
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	187742008
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	187743003
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	187744009
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	187750004
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	255080008
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269458007
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269459004
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269460009
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269529007
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269530002
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269531003
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	269532005
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	363349007
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	93717002
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	93818001
DOID:10534	stomach cancer	SNOMEDCT_US_2016_03_01	93867004
