doid_code	doid_name	resource	resource_id
DOID:4	disease	MESH	D004194
DOID:4	disease	NCI	C2991
DOID:4	disease	SNOMEDCT_US_2016_03_01	64572001
DOID:4	disease	UMLS	C0012634
DOID:630	genetic disease	MESH	D030342
DOID:630	genetic disease	NCI	C3101
DOID:630	genetic disease	SNOMEDCT_US_2016_03_01	264530000
DOID:630	genetic disease	SNOMEDCT_US_2016_03_01	32895009
DOID:630	genetic disease	UMLS	C0019247
DOID:10983	Alport syndrome	MESH	D009394
DOID:10983	Alport syndrome	ORDO	63
DOID:10983	Alport syndrome	SNOMEDCT_US_2016_03_01	399340005
DOID:10983	Alport syndrome	SNOMEDCT_US_2016_03_01	57333009
DOID:10983	Alport syndrome	UMLS	C0027706
DOID:0110033	autosomal recessive Alport syndrome	OMIM	203780
DOID:0110033	autosomal recessive Alport syndrome	ORDO	88919
DOID:77	gastrointestinal system disease	ICD10	K92.9
DOID:77	gastrointestinal system disease	ICD9	520-579.99
DOID:77	gastrointestinal system disease	MESH	D004066
DOID:77	gastrointestinal system disease	SNOMEDCT_US_2016_03_01	155629009
DOID:77	gastrointestinal system disease	SNOMEDCT_US_2016_03_01	155847001
DOID:77	gastrointestinal system disease	SNOMEDCT_US_2016_03_01	197575000
DOID:77	gastrointestinal system disease	SNOMEDCT_US_2016_03_01	266483008
DOID:77	gastrointestinal system disease	SNOMEDCT_US_2016_03_01	53619000
DOID:77	gastrointestinal system disease	UMLS	C0012242
DOID:5295	intestinal disease	ICD10	K63.9
DOID:5295	intestinal disease	ICD9	569.9
DOID:5295	intestinal disease	MESH	D007410
DOID:5295	intestinal disease	NCI	C26801
DOID:5295	intestinal disease	SNOMEDCT_US_2016_03_01	155629009
DOID:5295	intestinal disease	SNOMEDCT_US_2016_03_01	197266001
DOID:5295	intestinal disease	SNOMEDCT_US_2016_03_01	266483008
DOID:5295	intestinal disease	SNOMEDCT_US_2016_03_01	85919009
DOID:5295	intestinal disease	UMLS	C0021831
DOID:1285	rectal disease	MESH	D012002
DOID:1285	rectal disease	SNOMEDCT_US_2016_03_01	5964004
DOID:1285	rectal disease	UMLS	C0034882
DOID:3128	anus disease	MESH	D001004
DOID:3128	anus disease	NCI	C26695
DOID:3128	anus disease	SNOMEDCT_US_2016_03_01	32110003
DOID:3128	anus disease	UMLS	C0003462
DOID:2914	immune system disease	EFO	0000540
DOID:2914	immune system disease	ICD10	D89.9
DOID:2914	immune system disease	ICD9	279
DOID:2914	immune system disease	ICD9	279.9
DOID:2914	immune system disease	SNOMEDCT_US_2016_03_01	154782004
DOID:2914	immune system disease	SNOMEDCT_US_2016_03_01	191015009
DOID:2914	immune system disease	SNOMEDCT_US_2016_03_01	191019003
DOID:2914	immune system disease	SNOMEDCT_US_2016_03_01	191035005
DOID:2914	immune system disease	UMLS	C0041806
DOID:75	lymphatic system disease	MESH	D008206
DOID:75	lymphatic system disease	SNOMEDCT_US_2016_03_01	111590001
DOID:75	lymphatic system disease	SNOMEDCT_US_2016_03_01	155452000
DOID:75	lymphatic system disease	SNOMEDCT_US_2016_03_01	234087005
DOID:75	lymphatic system disease	SNOMEDCT_US_2016_03_01	266326002
DOID:75	lymphatic system disease	SNOMEDCT_US_2016_03_01	3305006
DOID:75	lymphatic system disease	SNOMEDCT_US_2016_03_01	362971004
DOID:75	lymphatic system disease	UMLS	C0024228
DOID:2916	hypersensitivity reaction type IV disease	ICD10	C88.9
DOID:2916	hypersensitivity reaction type IV disease	MESH	D007160
DOID:2916	hypersensitivity reaction type IV disease	SNOMEDCT_US_2016_03_01	127071007
DOID:2916	hypersensitivity reaction type IV disease	SNOMEDCT_US_2016_03_01	134363002
DOID:2916	hypersensitivity reaction type IV disease	SNOMEDCT_US_2016_03_01	86295000
DOID:2916	hypersensitivity reaction type IV disease	UMLS	C0021070
DOID:0060125	heavy chain disease	ICD10	C88.2
DOID:0060125	heavy chain disease	MESH	D006362
DOID:0060125	heavy chain disease	NCI	C3082
DOID:0060125	heavy chain disease	NCI	C3083
DOID:0060125	heavy chain disease	NCI	C3892
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	109984001
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	123062004
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	190011009
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	190820001
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	5440009
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	61493004
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	6381009
DOID:0060125	heavy chain disease	SNOMEDCT_US_2016_03_01	68979007
DOID:0060125	heavy chain disease	UMLS	C0018852
DOID:0060125	heavy chain disease	UMLS	C0018854
DOID:0060125	heavy chain disease	UMLS	C0242310
DOID:225	syndrome	MESH	D013577
DOID:225	syndrome	NCI	C28193
DOID:225	syndrome	SNOMEDCT_US_2016_03_01	64572001
DOID:225	syndrome	UMLS	C0039082
DOID:11042	Felty's syndrome	ICD10	M05.0
DOID:11042	Felty's syndrome	ICD10	M05.00
DOID:11042	Felty's syndrome	ICD9	714.1
